"","latitude","longitude","ocean_prd"
"147",-8.5,103.5,307.953641203704
"148",-8.5,104.5,319.214837962963
"149",-8.5,105.5,349.097833333333
"150",-8.5,106.5,407.808578703704
"151",-8.5,107.5,459.000865740741
"152",-8.5,108.5,476.643219907407
"153",-8.5,109.5,521.849365740741
"154",-8.5,110.5,623.586389880952
"155",-8.5,111.5,758.428206521739
"156",-8.5,112.5,798.101525
"157",-8.5,113.5,983.18962037037
"158",-8.5,114.5,1050.96869907407
"159",-8.5,115.5,551.812050724638
"160",-8.5,116.5,484.126200980392
"161",-8.5,117.5,519.830177777778
"162",-8.5,118.5,613.444955882353
"163",-8.5,119.5,582.42191
"164",-8.5,120.5,556.984196078431
"165",-8.5,121.5,466.222908730159
"166",-8.5,122.5,461.791125
"167",-8.5,123.5,649.993916666667
"168",-8.5,124.5,599.335887820513
"169",-8.5,125.5,508.324841269841
"170",-8.5,126.5,502.739853174603
"171",-8.5,127.5,435.458623655914
"172",-8.5,128.5,441.843578431373
"173",-8.5,129.5,421.306607843137
"174",-8.5,130.5,487.027113425926
"175",-8.5,131.5,482.749610294118
"176",-8.5,132.5,493.923155092593
"177",-8.5,133.5,500.939449074074
"178",-8.5,134.5,596.509488425926
"179",-8.5,135.5,897.684497685185
"180",-8.5,136.5,1304.28720601852
"181",-8.5,137.5,1594.90694623656
"182",-8.5,138.5,1318.73347288676
"183",-8.5,139.5,1348.10693333333
"184",-8.5,140.5,1401.68569166667
"185",-7.5,99.5,268.439643518518
"186",-7.5,100.5,298.868969907407
"187",-7.5,101.5,317.069039351852
"188",-7.5,102.5,324.117502314815
"189",-7.5,103.5,369.023032407407
"190",-7.5,104.5,414.748097222222
"191",-7.5,105.5,499.136388888889
"192",-7.5,106.5,709.423773268398
"193",-7.5,107.5,940.350670833333
"194",-7.5,108.5,1289.51350631313
"195",-7.5,109.5,1538.57649242424
"196",-7.5,110.5,1821.29408333333
"197",-7.5,112.5,2386.66079545455
"198",-7.5,113.5,1000.67744107744
"199",-7.5,114.5,535.691580357143
"200",-7.5,115.5,469.926724537037
"201",-7.5,116.5,430.646143518518
"202",-7.5,117.5,470.119662037037
"203",-7.5,118.5,462.382564814815
"204",-7.5,119.5,424.670599537037
"205",-7.5,120.5,426.507236111111
"206",-7.5,121.5,411.188849537037
"207",-7.5,122.5,369.678615740741
"208",-7.5,123.5,407.127048611111
"209",-7.5,124.5,425.979717592593
"210",-7.5,125.5,420.289004901961
"211",-7.5,126.5,479.169981182796
"212",-7.5,127.5,464.128907407407
"213",-7.5,128.5,455.491257142857
"214",-7.5,129.5,451.672906862745
"215",-7.5,130.5,483.621298611111
"216",-7.5,131.5,578.482075396825
"217",-7.5,132.5,593.467854166667
"218",-7.5,133.5,908.141516203704
"219",-7.5,134.5,1104.94227314815
"220",-7.5,135.5,1114.07544444444
"221",-7.5,136.5,1530.46709027778
"222",-7.5,137.5,1972.43297619048
"223",-7.5,138.5,2293.50703703704
"224",-7.5,139.5,NA
"225",-6.5,98.5,263.430611111111
"226",-6.5,99.5,279.530275462963
"227",-6.5,100.5,306.910354166667
"228",-6.5,101.5,333.310835648148
"229",-6.5,102.5,380.824469907407
"230",-6.5,103.5,460.057162037037
"231",-6.5,104.5,567.812127314815
"232",-6.5,105.5,725.180018997669
"233",-6.5,106.5,712.872888888889
"234",-6.5,107.5,1196.75170833333
"235",-6.5,108.5,1018.57214912281
"236",-6.5,109.5,673.345794444444
"237",-6.5,110.5,706.765621527778
"238",-6.5,111.5,720.101177083333
"239",-6.5,112.5,629.015709677419
"240",-6.5,113.5,522.678866666667
"241",-6.5,114.5,501.198837962963
"242",-6.5,115.5,474.774323232323
"243",-6.5,116.5,442.550039351852
"244",-6.5,117.5,462.191071759259
"245",-6.5,118.5,578.684708333333
"246",-6.5,119.5,551.795284722222
"247",-6.5,120.5,486.531408333333
"248",-6.5,121.5,457.921576388889
"249",-6.5,122.5,407.492976851852
"250",-6.5,123.5,414.840979166667
"251",-6.5,124.5,418.466293981481
"252",-6.5,125.5,418.258875
"253",-6.5,126.5,432.774613425926
"254",-6.5,127.5,440.091023148148
"255",-6.5,128.5,457.527766203704
"256",-6.5,129.5,490.464592592593
"257",-6.5,130.5,499.742518518519
"258",-6.5,131.5,572.707364285714
"259",-6.5,132.5,659.2125625
"260",-6.5,133.5,731.090407407407
"261",-6.5,134.5,1481.71964393939
"262",-6.5,135.5,1241.72182407407
"263",-6.5,136.5,1377.48190046296
"264",-6.5,137.5,1874.04610416667
"265",-6.5,138.5,2463.03384259259
"266",-6.5,139.5,NA
"267",-5.5,97.5,237.982715277778
"268",-5.5,98.5,241.565435185185
"269",-5.5,99.5,255.705439814815
"270",-5.5,100.5,277.689925925926
"271",-5.5,101.5,299.975291666667
"272",-5.5,102.5,352.05584047619
"273",-5.5,103.5,421.376287878788
"274",-5.5,104.5,614.405558333333
"275",-5.5,105.5,979.011708333333
"276",-5.5,106.5,873.947525541126
"277",-5.5,107.5,683.912412037037
"278",-5.5,108.5,550.699071759259
"279",-5.5,109.5,488.905935185185
"280",-5.5,110.5,491.538564814815
"281",-5.5,111.5,480.093898148148
"282",-5.5,112.5,511.855219907407
"283",-5.5,113.5,569.943196759259
"284",-5.5,114.5,589.625789351852
"285",-5.5,115.5,519.348923611111
"286",-5.5,116.5,501.506087962963
"287",-5.5,117.5,519.362347222222
"288",-5.5,118.5,535.846819444444
"289",-5.5,119.5,918.56023015873
"290",-5.5,120.5,474.319386904762
"291",-5.5,121.5,401.453852941176
"292",-5.5,122.5,609.643409090909
"293",-5.5,123.5,508.936766129032
"294",-5.5,124.5,431.344726851852
"295",-5.5,125.5,417.571856481481
"296",-5.5,126.5,412.477328703704
"297",-5.5,127.5,440.944645833333
"298",-5.5,128.5,461.830854166667
"299",-5.5,129.5,491.633483796296
"300",-5.5,130.5,529.16344212963
"301",-5.5,131.5,591.651800925926
"302",-5.5,132.5,656.647443655303
"303",-5.5,133.5,603.657506060606
