OBJECTID,year,longitude,latitude,conflict,conflict50nmi,conflict100nmi,fatalities100nmi,conflict150nmi,conflict200nmi,ocean_prd,ind_iuu000,nid_iuu000,iuu000,battle_count100nmi,protest_count100nmi,civilian_count100nmi,conflictm712,fatam712,ocp16,ocp1014mean,annual_catch1014,annual_indcatch1014,annual_nidcatch1014,conflict2016,catchdev,indcatchdev,nidcatchdev,indcatch000,nidcatch000,catch000,devgroup1,devgroup2,devgroup3,devgroup4,prodummy1,prodummy2,prodummy3,prodummy4,prodummy5,prodummy6,prodummy7,prodummy8,prodummy9,prodummy10,prodummy11,prodummy12,prodummy13,prodummy14,prodummy15,prodummy16,prodummy17,prodummy18,prodummy19,prodummy20,prodummy21,prodummy22,prodummy23,prodummy24,prodummy25,prodummy26,prodummy27,prodummy28,prodummy29,prodummy30,prodummy31,prodummy32,prodummy33,prodummy34
137,2015,119.463306302,-12.3375096425,0,0,0,0,1,2,281.2052434285482,0.011069949716329575,0,0.011069948785007,0,0,0,0,0,238.57351684570312,289.9089050292969,0.13352173566818237,0.13352173566818237,0,0,-1.6761338710784912,-1.6469472646713257,-1.6930298805236816,0.14839601516723633,0,0.14839601516723633,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
138,2015,120.460436267,-12.3375096425,0,0,0,0,1,6,277.6329828898112,0.005638440139591694,0,0.005638440139591694,0,0,0,0,0,243.1246337890625,288.0970458984375,0.087649866938591,0.087649866938591,0,0,-1.697373390197754,-1.7045037746429443,-1.6930298805236816,0.07557910680770874,0,0.07557910680770874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139,2015,121.457566233,-12.3375096425,0,0,0,0,4,6,279.4565048217773,0.006693140137940645,0,0.006693140137940645,0,0,0,0,0,243.5575408935547,289.31231689453125,0.08961457014083862,0.08961457014083862,0,0,-1.692373514175415,-1.6909950971603394,-1.6930298805236816,0.08974557369947433,0,0.08974556624889374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,2015,122.454696198,-12.3375096425,0,0,0,0,5,10,274.5205764770508,0.3798385560512543,0.013956100679934025,0.3937946856021881,0,0,0,0,0,250.16629028320312,300.0484924316406,1.6084038019180298,1.5851538181304932,0.023249953985214233,0,-1.641951084136963,-1.3563381433486938,-1.6946430206298828,1.8907891511917114,0.023035570979118347,1.9138246774673462,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,2015,123.451826163,-12.3375096425,0,0,0,0,7,10,319.1757134331597,0.1613820493221283,0.009161329828202724,0.170543372631073,0,0,0,0,0,303.00494384765625,333.9529724121094,1.0824381113052368,1.0553336143493652,0.02710442617535591,0,-1.8775904178619385,-1.5096688270568848,-1.7003194093704224,1.0355039834976196,0.01724057085812092,1.0527445077896118,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
142,2015,124.448956129,-12.3375096425,0,0,0,0,9,10,339.0204967922634,0.31685540080070496,0.009819169528782368,0.32667458057403564,0,0,0,0,0,321.3429870605469,346.9917297363281,2.340848445892334,2.3179984092712402,0.022850114852190018,0,-2.1209092140197754,-1.7227400541305542,-1.6972179412841797,1.738652229309082,0.023512419313192368,1.7621647119522095,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,2015,125.446086094,-12.3375096425,0,0,0,0,9,10,415.0206680297852,0.09598104655742645,4.192999767838046e-5,0.09602297842502594,0,0,0,0,0,434.1120910644531,435.01617431640625,0.3686686158180237,0.36864569783210754,2.2946000171941705e-5,0,-1.9964599609375,-1.7186965942382812,-1.7031691074371338,0.3180249333381653,5.379999947763281e-6,0.31803032755851746,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,2015,126.443216059,-12.3375096425,0,0,0,0,0,10,575.1131795247396,0.09559991210699081,1.1526000162120908e-4,0.09571517258882523,0,0,0,0,0,642.4356689453125,564.99041748046875,0.3812907636165619,0.37956660985946655,0.0017241578316316009,0,-2.0054376125335693,-1.7839809656143188,-1.7285641431808472,0.36497920751571655,1.2080000487912912e-5,0.36499130725860596,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,2015,127.440346025,-12.3375096425,0,0,0,0,0,2,604.1444380018446,0.07475361227989197,1.3017999299336225e-4,0.07488378882408142,0,0,0,0,0,633.8839111328125,538.97833251953125,0.45706290006637573,0.4570212960243225,4.161599645158276e-5,0,-2.006082534790039,-1.8811516761779785,-1.7269281148910522,0.3055625557899475,1.322699972661212e-4,0.3056948184967041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
157,2015,139.405905609,-12.3375096425,0,0,0,0,0,0,548.3808220757378,0.06176740676164627,0,0.06176741048693657,0,0,0,0,0,587.61773681640625,530.07110595703125,0.22196316719055176,0.22196316719055176,0,0,-1.9986499547958374,-1.8136699199676514,-1.695451259613037,0.19489872455596924,0,0.19489872455596924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
