"","X","...1","latitude","longitude","sum_IUU","sum_reported","coords","sum_NIUU","sum_Nreported","total_IUU_catch","total_catch","conflict0nmi","conflict50nmi","conflict100nmi","conflict150nmi","conflict200nmi","fatalities100nmi","ocean_ord","ocean_prd","prodummy1","prodummy2","prodummy3","prodummy4","prodummy5","prodummy6","prodummy7","prodummy8","prodummy9","prodummy10","prodummy11","prodummy12","prodummy13","prodummy14","prodummy15","prodummy16","prodummy17","prodummy18","prodummy19","prodummy20","prodummy21","prodummy22","prodummy23","prodummy24","prodummy25","prodummy26","prodummy27","prodummy28","prodummy29","prodummy30","prodummy31","prodummy32","prodummy33","prodummy34","indcatch000","nidcatch000","catch000"
"16",16,16,-12.5,118.5,10.2307,126.70533,"118.5,-12.5",0,0,10.2307,126.70533,0,0,0,0,1,1,295.767756944444,295.767756944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.12670533,0,0.12670533
"17",17,17,-12.5,119.5,11.06995,148.396,"119.5,-12.5",0,0,11.06995,148.396,0,0,0,1,1,0,291.888344907407,291.888344907407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148396,0,0.148396
"18",18,18,-12.5,120.5,5.63844,75.57911,"120.5,-12.5",0,0,5.63844,75.57911,0,0,0,0,0,0,292.100138888889,292.100138888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07557911,0,0.07557911
"19",19,19,-12.5,121.5,6.69314,89.74557,"121.5,-12.5",0,0,6.69314,89.74557,0,0,0,0,0,0,289.237699074074,289.237699074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08974557,0,0.08974557
"20",20,20,-12.5,122.5,379.83857,1890.78914,"122.5,-12.5",7.32493,23.03557,387.1635,1913.82471,0,0,0,0,0,0,290.335115740741,290.335115740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.89078914,0.02303557,1.91382471
"21",21,21,-12.5,123.5,161.38204,1035.5039,"123.5,-12.5",5.48083,17.24057,166.86287,1052.74447,0,0,0,5,5,0,337.274534722222,337.274534722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0355039,0.01724057,1.05274447
"22",22,22,-12.5,124.5,316.85541,1738.65218,"124.5,-12.5",7.45776,23.51242,324.31317,1762.1646,0,0,0,2,5,1,369.008090277778,369.008090277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.73865218,0.02351242,1.7621646
"23",23,23,-12.5,125.5,95.98105,318.02494,"125.5,-12.5",0.00163,0.00538,95.98268,318.03032,0,0,0,0,0,0,472.768962962963,472.768962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.31802494,5.38e-06,0.31803032
"24",24,24,-12.5,126.5,95.59991,364.97921,"126.5,-12.5",0.00364,0.01208,95.60355,364.99129,0,0,0,0,0,0,635.614981481481,635.614981481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.36497921,1.208e-05,0.36499129
"25",25,25,-12.5,127.5,74.75361,305.56257,"127.5,-12.5",0.03976,0.13227,74.79337,305.69484,0,0,0,0,0,0,624.37150462963,624.37150462963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.30556257,0.00013227,0.30569484
